股票代码,缺口十字星日期,最高涨幅,收盘涨幅
000088,20130910,8.855605125427246,-1.72652006149292
000088,20141211,0.8228778839111328,-4.769718647003174
000090,20120413,8.56471061706543,1.692652702331543
000090,20141111,1.787877082824707,-0.26647448539733887
000090,20150417,4.457283020019531,-2.2098541259765625
000090,20160303,4.114007949829102,-6.036853790283203
000045,20101122,-0.4996180534362793,-2.0006418228149414
000045,20150430,10.032522201538086,6.8367838859558105
000045,20150713,7.3131561279296875,-3.019767999649048
000045,20150810,9.287225723266602,1.215195655822754
000045,20150814,3.923678398132324,0.7240891456604004
000045,20160204,5.563032627105713,-3.6823630332946777
000096,20131029,9.984027862548828,9.622991561889648
000096,20150605,5.2625298500061035,-4.1713714599609375
000096,20150710,9.970545768737793,9.970545768737793
000096,20150811,2.445387840270996,-5.720317363739014
